Time,X,Y,Speed
0.0,-380,1267,284
0.003,-380,1270,284
0.082,-377,1332,285
0.203,-373,1429,286
0.362,-366,1558,287
0.523,-360,1700,287
0.602,-356,1775,288
0.762,-349,1935,290
0.883,-345,2038,290
1.122,-339,2171,291
1.323,-334,2330,292
1.482,-325,2533,293
1.503,-325,2557,293
1.642,-319,2674,294
1.923,-312,2819,294
1.962,-310,2848,295
2.083,-306,2950,295
2.323,-297,3154,296
2.362,-295,3189,297
2.484,-290,3302,297
2.522,-288,3335,297
2.722,-281,3498,298
2.744,-281,3517,298
2.962,-274,3698,299
2.984,-274,3716,299
3.164,-269,3849,300
3.324,-264,3982,300
3.362,-262,4019,301
3.602,-253,4279,302
3.644,-252,4316,302
3.922,-246,4482,302
3.924,-246,4484,302
4.202,-238,4716,303
4.264,-236,4770,303
4.344,-233,4837,303
4.482,-228,4952,304
4.624,-225,5073,304
4.682,-223,5122,304
4.842,-219,5257,305
4.884,-218,5293,304
5.042,-214,5426,304
5.044,-214,5428,304
5.244,-208,5597,304
5.283,-206,5630,305
5.443,-202,5766,305
5.522,-199,5833,305
5.663,-196,5952,305
5.843,-192,6105,305
5.882,-190,6146,306
6.143,-182,6466,305
6.162,-181,6484,305
6.402,-177,6627,299
6.603,-175,6733,294
6.682,-173,6790,290
6.843,-170,6924,281
7.002,-166,7046,272
7.023,-166,7061,259
7.242,-161,7208,246
7.303,-160,7261,239
7.503,-152,7463,232
7.522,-151,7476,226
7.802,-147,7567,199
7.823,-147,7576,190
8.002,-143,7668,182
8.003,-143,7669,172
8.243,-138,7783,162
8.362,-135,7821,152
8.463,-134,7852,145
8.602,-130,7899,138
8.743,-126,7957,131
8.762,-125,7965,124
8.963,-114,8062,116
9.082,-108,8096,108
9.304,-99,8133,102
9.362,-95,8145,96
9.624,-72,8206,93
9.682,-66,8216,90
9.804,-54,8238,86
9.922,-39,8259,83
9.924,-39,8260,80
10.204,3,8303,77
10.322,19,8316,75
10.384,33,8324,73
10.562,91,8344,72
10.564,92,8345,70
10.842,127,8349,68
10.964,141,8346,68
11.184,180,8336,68
11.242,190,8331,68
11.404,219,8318,69
11.562,245,8302,71
11.644,259,8293,72
11.804,286,8273,74
11.883,298,8262,76
11.964,312,8250,78
12.043,327,8235,81
12.242,371,8193,87
12.303,383,8182,92
12.602,423,8140,97
12.623,426,8137,101
12.762,445,8115,105
12.962,487,8071,114
12.983,494,8065,118
13.162,560,8003,122
13.183,567,7998,126
13.362,602,7970,130
13.483,625,7958,131
13.602,658,7939,133
13.802,732,7905,139
13.823,740,7902,142
14.002,807,7881,146
14.003,808,7881,147
14.203,889,7867,149
14.242,912,7865,151
14.423,1035,7866,153
14.482,1064,7867,156
14.783,1152,7881,160
14.802,1158,7882,164
14.963,1226,7894,169
15.042,1263,7900,175
15.202,1341,7916,178
15.263,1370,7923,181
15.523,1500,7958,185
15.562,1531,7968,189
15.684,1642,8005,195
15.842,1731,8034,201
16.104,1815,8053,203
16.162,1841,8057,206
16.304,1917,8066,210
16.482,2022,8071,214
16.564,2073,8071,216
16.624,2110,8070,218
16.682,2145,8068,221
16.924,2296,8062,223
17.002,2344,8057,226
17.084,2396,8053,228
17.162,2445,8047,231
17.304,2537,8037,232
17.402,2599,8027,234
17.562,2702,8009,238
17.624,2743,8002,239
17.762,2834,7983,241
17.804,2861,7978,242
17.984,2980,7953,244
18.042,3029,7942,246
18.264,3237,7902,247
18.282,3248,7899,249
18.643,3429,7863,255
18.803,3624,7823,256
18.922,3699,7807,257
19.103,3751,7797,259
19.242,3843,7778,262
19.343,3921,7763,263
19.482,4023,7742,264
19.703,4181,7711,265
19.762,4223,7702,266
19.823,4268,7693,267
19.962,4369,7672,269
20.043,4429,7661,270
20.162,4515,7643,271
20.203,4546,7637,272
20.443,4724,7602,273
20.522,4783,7590,274
20.722,4933,7561,275
20.723,4934,7561,276
20.883,5054,7537,277
21.143,5251,7499,278
21.363,5419,7467,279
21.523,5618,7429,280
21.722,5770,7400,282
21.922,5857,7385,283
21.983,5896,7378,280
22.143,6020,7355,277
22.322,6168,7327,275
22.344,6187,7324,272
22.482,6298,7303,270
22.604,6392,7287,262
22.762,6503,7266,254
22.764,6505,7266,249
22.922,6600,7249,244
22.964,6626,7245,234
23.122,6728,7226,224
23.184,6768,7219,215
23.322,6847,7204,206
23.384,6881,7198,193
23.602,6992,7175,181
23.624,7003,7173,172
23.842,7100,7146,163
23.904,7127,7137,159
24.024,7176,7118,155
24.082,7196,7109,151
24.304,7278,7069,143
24.442,7359,7014,136
24.464,7371,7006,131
24.842,7441,6939,127
24.964,7452,6915,126
25.043,7461,6893,125
25.203,7483,6841,123
25.323,7492,6801,122
25.363,7494,6788,121
25.563,7497,6720,120
25.602,7496,6706,119
25.803,7492,6641,118
25.903,7487,6608,117
25.922,7485,6601,117
26.122,7470,6538,119
26.123,7470,6538,120
26.323,7447,6475,122
26.522,7400,6389,124
26.643,7372,6342,128
26.882,7330,6286,132
27.043,7301,6257,135
27.122,7283,6239,138
27.362,7217,6177,144
27.543,7163,6130,149
27.562,7157,6125,155
27.802,7079,6064,164
27.943,7024,6024,171
28.042,6977,5991,178
28.403,6805,5872,184
28.482,6783,5856,191
28.682,6735,5822,194
28.683,6735,5822,198
28.904,6636,5749,202
29.082,6554,5686,206
29.104,6545,5679,210
29.364,6425,5583,214
29.402,6400,5561,218
29.604,6261,5434,221
29.682,6227,5402,225
29.842,6198,5374,229
30.004,6148,5313,231
30.042,6128,5288,233
30.244,6001,5130,236
30.442,5936,5044,240
30.644,5893,4977,239
30.762,5853,4915,239
30.904,5801,4831,235
31.044,5754,4752,232
31.082,5741,4731,229
31.244,5688,4645,226
31.322,5662,4606,223
31.563,5581,4496,195
31.584,5574,4488,192
31.664,5546,4456,189
31.803,5494,4403,187
31.863,5472,4383,185
31.963,5433,4350,183
32.023,5410,4332,182
32.123,5369,4303,181
